Date,Product,LotNumber,ColorStrength,DE
1/2/2014,Impact Black,1195714,99.72,0.23
1/2/2014,Impact Black,1195715,100.62,0.24
1/2/2014,Impact Black,1195716,99.1,0.18
1/2/2014,Impact Black,1195717,99.74,0.2
1/3/2014,Impact Black,1202530,99.42,0.14
1/3/2014,Impact Black,1202531,99.66,0.11
1/3/2014,Impact Black,1202532,98.92,0.16
1/3/2014,Impact Black,1202534,98.85,0.17
1/6/2014,Impact Black,1206530,102.13,0.15
1/6/2014,Impact Black,1206525,100.75,0.06
1/6/2014,Impact Black,1206527,101.06,0.25
1/6/2014,Impact Black,1206532,99.01,0.26
1/6/2014,Mulch Magic Black,1207586,98.71,0.24
1/6/2014,Mulch Magic Black,1207584,100.3,0.41
1/7/2014,Impact Black,1214295,100.3,0.24
1/7/2014,Impact Black,1214296,101.43,0.29
1/7/2014,Mulch Magic Black,1214289,99.91,0.27
1/7/2014,Impact Black,1214297,97.05,0.37
1/7/2014,Impact Black,1214298,97.74,0.38
1/7/2014,MM Black,1214291,96.78,0.49
1/8/2014,Impact Black,1222040,97.65,0.28
1/8/2014,Impact Black,1222055,97.59,0.31
1/8/2014,Impact Black,1222061,96.87,0.34
1/8/2014,Impact Black,1222057,99.69,0.24
1/9/2014,Impact Black,1222987,97.67,0.21
1/9/2014,Impact Black,1222989,96.41,0.34
1/10/2014,Impact Black,1236995,97.83,0.27
1/10/2014,Impact Black,1236996,95.27,0.4
1/13/2014,Impact Black,1243138,96.61,0.31
1/13/2014,Impact Black,1243142,97.38,0.24
1/13/2014,Impact Black,1243145,103.23,0.38
1/13/2014,Impact Black,1243149,96.94,0.28
1/13/2014,Impact Black,1243155,96.87,0.29
1/13/2014,Impact Black,1243159,95.29,0.4
1/13/2014,Impact Black,1243165,96.9,0.29
1/13/2014,Impact Black,1243171,95.74,0.4
1/13/2014,Impact Black,1243177,96.99,0.32
1/14/2014,Impact Black,1251871,96.64,0.35
1/14/2014,Impact Black,1251872,97.88,0.29
1/14/2014,Impact Black,1251876,95.97,0.37
1/14/2014,Impact Black,1251878,96.14,0.35
1/14/2014,Impact Black,1251880,96.52,0.31
1/14/2014,Impact Black,1251882,96.36,0.32
1/14/2014,Impact Black,1251900,99.5,0.47
1/14/2014,Impact Black,1251903,100.7,0.48
1/14/2014,Impact Black,1251905,96.01,0.35
1/15/2014,Impact Black,1259140,101.06,0.18
1/15/2014,Impact Black,1259141,99.79,0.17
1/16/2014,MM Black,1268215,104.2,0.32
1/16/2014,Impact Black,1259144,100.92,0.22
1/16/2014,Impact Black,1259148,101.05,0.2
1/16/2014,MM Black,1268220,101.33,0.12
1/16/2014,MM Black,1268216,101.18,0.1
1/17/2014,Mulch Magic Black,1275957,102.17,0.16
1/17/2014,Impact Black,1276130,102.47,0.26
1/17/2014,Impact Black,1276131,103,0.42
1/17/2014,Impact Black,1276135,102.05,0.24
1/17/2014,Impact Black,1276134,99.7,0.14
1/17/2014,MM Black,1275959,101.62,0.13
1/17/2014,MM Black,1275961,101.44,0.13
1/17/2014,Impact Black,1276137,99.8,0.16
1/17/2014,Impact Black,1276138,100.7,0.21
1/20/2014,MM Black,1282498,101.6,0.12
1/20/2014,Impact Black,1282133,101.35,0.31
1/20/2014,MM Black,1282500,100.02,0.05
1/20/2014,Impact Black,1282135,99.44,0.2
1/20/2014,MM Black,1282501,102.16,0.17
1/20/2014,Impact Black,1282144,100.42,0.33
1/21/2014,MM Black,1291095,101.49,0.14
1/21/2014,Impact Black,1282145,101.9,0.41
1/21/2014,MM Black,1291097,100.54,0.07
1/21/2014,Impact Black,1282147,101.56,0.2
1/21/2014,MM Black,1291096,100.5,0.03
1/21/2014,Impact Black,1282148,98.46,0.19
1/22/2014,Impact Black,1291145,99.4,0.19
1/22/2014,MM Black,1298961,99.93,0.12
1/22/2014,Impact Black,1298613,99.19,0.17
1/22/2014,MM Black,1298966,98.68,0.11
1/22/2014,Impact Black,1298614,99.77,0.13
1/23/2014,MM Black,1299636,101.29,0.11
1/23/2014,Impact Black,1298623,100.66,0.22
1/23/2014,MM Black,22951.9,100.26,0.1
1/23/2014,Impact Black,1298618,98.31,0.17
1/23/2014,Impact Black,1298622,98.65,0.22
1/24/2014,MM Black,1299639,98.96,0.16
1/24/2014,Impact Black,1314200,99.23,0.23
1/24/2014,MM Black,11314166,99.25,0.15
1/24/2014,Impact Black,11314203,98.81,0.18
1/24/2014,MM Black,11314172,101.95,0.17
1/24/2014,Impact Black,11314205,99.31,0.22
1/27/2014,Impact Black,11320738,100.07,0.11
1/27/2014,Impact Black,11320740,97.77,0.17
1/27/2014,MM Black,11320734,99.42,0.09
1/27/2014,Impact Black,11320742,97.73,0.24
1/28/2014,MM Black,11329866,100.83,0.08
1/28/2014,Impact Black,11329831,98.5,0.29
1/28/2014,MM Black,11330149,99.92,0.08
1/28/2014,Impact Black,11329851,98.77,0.29
1/28/2014,MM Black,11330155,99.73,0.05
1/28/2014,Impact Black,11329859,98.47,0.3
1/29/2014,MM Black,11337724,100.89,0.07
1/29/2014,Impact Black,11337577,99.23,0.15
1/29/2014,MM Black,11337726,99.15,0.13
1/29/2014,Impact Black,11337581,98.14,0.19
